index,title,id,description
10,TTAC-0001 and Pembrolizumab Combination phase1b Trial in Recurrent Glioblastoma,NCT03722342,"This is a phase 1b, open-Label clinical trial to determine the safety and tolerability and to establish a preliminary recommended Phase 2 dose (RP2D) of TTAC-0001 administered in combination with pembrolizumab in patients with recurrent glioblastoma."
11,Standard Chemotherapy vs. Chemotherapy Guided by Cancer Stem Cell Test in Recurrent Glioblastoma,NCT03632135,"This study is designed as a parallel group randomized controlled clinical trial to determine if recurrent Glioblastoma (GBM) patients treated with drugs predicted by the ChemoID assay will have better outcomes than patients treated with standard-of-care control therapy chosen by the Physician.  Upon obtaining informed consent, all eligible participants affected by recurrent GBM will have a tumor biopsy to undergo ChemoID drug response testing with multiple FDA-approved chemotherapeutic agents.  Eligible participants will be randomized to a standard treatment arm with control treatment (chemotherapy chosen by the Physician from a provided list), or to a study arm of FDA-approved drugs selected by the ChemoID drug response assay."
12,TTAC-0001 Phase II Trial With Recurrent Glioblastoma Progressed on Bevacizumab,NCT03856099,"This is a phase II, open-Label clinical trial to evaluate the safety and efficacy of TTAC-0001 in patients with recurrent glioblastoma who was progressed on bevacizumab including therapy."
13,HIF-2 Alpha Inhibitor PT2385 in Treating Patients With Recurrent Glioblastoma,NCT03216499,"PRIMARY OBJECTIVES:  I. To estimate the efficacy of hypoxia inducible factor (HIF)-2 alpha inhibitor PT2385 (PT2385) as measured by radiographic response rate (by Response Assessment in Neuro-Oncology, RANO, criteria) in patients with recurrent glioblastoma.  SECONDARY OBJECTIVES:  I. To estimate the efficacy of PT2385 as measured by progression free and overall survival in patients with recurrent glioblastoma.  II. To determine the safety of oral PT2385 in patients with recurrent glioblastoma.  TERTIARY OBJECTIVES:  I. To describe the pharmacokinetic and pharmacodynamic properties of PT2385 in patients with recurrent glioblastoma.  II. To describe baseline intratumoral hypoxia using novel, advanced magnetic resonance (MR)-based neuroimaging sequences in patients with recurrent glioblastoma.  III. To explore genetic polymorphisms involved in the metabolism of PT2385.  OUTLINE:  Patients receive HIF-2 alpha inhibitor PT2385 orally (PO) twice daily (BID) on days 1-28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity.  After completion of study treatment, patients are followed up every 2 months for 2 years and every 6 months thereafter."
14,Pilot Study of 18F-FMISO PET/CT and MRI Imaging to Explore Tissue Hypoxia and Arteriovenous Shunting in Subjects With Recurrent Glioblastoma Before and After Bevacizumab Treatment,NCT03573986,Subjects with recurrent glioblastoma who are candidates for bevacizumab treatment according to standard of care will be eligible for this study. Positron emission tomography (PET/CT) imaging will use the investigational radiotracer [18F]FMISO to image the brain and evaluate for hypoxia pre and post therapy.. Subjects will also undergo up to three Brain MRIs.
15,Cediranib in Combination With Lomustine Chemotherapy in Recurrent Glioblastoma,NCT00777153,"The purpose of this study is to see how effective cediranib is in treating a brain tumour called recurrent glioblastoma. Two drugs are being tested in this study. Lomustine is an approved oral chemotherapy that belongs to the class of drugs called alkylating agents. Cediranib is a new drug that has not yet been approved for this disease. This study will compare the use of lomustine with cediranib, cediranib alone or lomustine with placebo (""inactive substance"") to see whether the combination or cediranib alone will be more effective than the chemotherapy alone (lomustine) in preventing the growth of cancer cells."
16,Phase 2 Study of Panzem Nanocrystal Colloidal Dispersion (NCD) in Combination With Fixed-Dose Temozolomide to Patients With Recurrent Glioblastoma Multiforme (GBM),NCT00481455,The purpose of this study is to evaluate the anti-tumor activity and safety of Panzem NCD given in combination with daily oral fixed-dose temozolomide in patients with recurrent glioblastoma multiforme.
17,"Calorie-restricted, Ketogenic Diet and Transient Fasting During Reirradiation for Patients With Recurrent Glioblastoma",NCT01754350,"Increased glucose metabolism is characteristic for solid tumors. Thereby, glucose is important for the generation of ATP, supply of anabolic substrates and defense against reactive oxygen species in tumor cells. In preclinical models, restricting glucose availability using a ketogenic diet, calorie-restriction or transient fasting inhibits tumor growth.  Therefore, the purpose of the study is to evaluate whether a calorie-restricted, ketogenic diet and transient fasting can enhance the efficacy of reirradiation in patients with recurrent glioblastoma."
18,Safety & Radiation Distribution Study of Cotara? in Patients With Recurrent Glioblastoma Multiforme,NCT00509301,"OBJECTIVES:  Primary  To confirm the dose limiting toxicities (DLT) and maximum tolerated dose (MTD) of 131I-chTNT-1/B MAb (Cotara?) when given as a single 25 hour interstitial infusion in patients with recurrent GBM To characterize the biodistribution and radiation dosimetry of Cotara?  OUTLINE:  This is an open-label, dose escalation study of Cotara?.  All patients will receive 3 mCi of Cotara? for biodistribution and radiation dosimetry purposes. In addition, patients will receive escalating therapeutic dose levels of Cotara? for confirmation of the maximum tolerated dose (MTD). After completion of study treatment, patients are followed for a minimum of 12 weeks and until disease progression."
19,Clinical Trial on the Combination of Avelumab and Axitinib for the Treatment of Patients With Recurrent Glioblastoma,NCT03291314,"High-grade gliomas of the central nervous system (CNS) are characterized by profound tumor related neo-angiogenesis, and intracranial perilesional edema. Glioblastoma (WHO-grade IV glioma) expresses high levels of VEGF and frequently carries an amplified gene copy numbers of the VEGFR2, KIT and PDGFR or EGFR genes, key mediators of the process of cancer related neo-angiogenesis. In patient diagnosed with recurrence/progression glioblastoma (recGB) following prior therapy with surgery, radiation therapy and temozolomide, cytotoxic salvage therapies resulted in a best overall response rate of 5 to 10%, 6-month PFS rates of 9% to 21%, and a median OS of 25 to 30 weeks. No treatment option has demonstrated to improve the survival expectancy of recGB patients in a randomized clinical trial. Bevacizumab treatment has been registered by FDA based on objective tumor response rates and PFS results obtained in uncontrolled phase II trials. There is currently no treatment registered by EMA for the indication of recGB.  Axitinib, a VEGFR-specific small molecule tyrosine kinase inhibitor (Tki) has demonstrated anti-tumor activity when evaluated as a mono-therapy and in combination with lomustine for the treatment of patients with recGB (EudraCT 2011-000900-16). Immunocytochemical profiling of the peripheral blood of recurrent GBM patients treated with axitinib or axitinib plus lomustine showed that axitinib treatment increases the number of naive CD8+ T cells and central memory CD4+ and CD8+ T cells. There was also a reduction of TIM3 expression and an increased cytokine production in the patients treated with axitinib. Upon progression during axitinib treatment patients displayed an increased immune suppression with an increased number of Treg, an increased PD-1 expression on CD4+ and CD8+ T cells, and a reduced T cell functionality.  Avelumab (MSB00107; anti-PD-L1) is a fully human anti-PD-L1 IgG1 monoclonal antibody (mAb) that has demonstrated anti-tumor activity in several tumor types. Expression of PD-L1 by tumor cells has been correlated with a higher probability for respons to avelumab throughout different tumor types. Glioblastoma has been reported to expresses the PD-L1 ligand.  In preclinical mouse models we demonstrated that axitinib reduces the immune suppressive microenvironment through reduction of the suppressive capacity of monocytic MDSCs (both in intra-cranial as well as subcutaneous tumors). Moreover, it also increased the number of tumor-infiltrating T cells. When we combined axitinib with active immunotherapy in the form of CTLA4 blockade not only a supplementary reduction of the suppressive capacity of these monocytic MDSCs was found, but also a reduction of the intratumoral granulocytic MDSCs and an increased antigen-presenting function of intratumoral DCs (manuscript accepted for publication in High-grade gliomas of the central nervous system (CNS) are characterized by profound tumor related neo-angiogenesis, and intracranial perilesional edema. Glioblastoma (WHO-grade IV glioma) expresses high levels of VEGF and frequently carries an amplified gene copy numbers of the VEGFR2, KIT and PDGFR or EGFR genes, key mediators of the process of cancer related neo-angiogenesis. In patient diagnosed with recurrence/progression glioblastoma (recGB) following prior therapy with surgery, radiation therapy and temozolomide, cytotoxic salvage therapies resulted in a best overall response rate of 5 to 10%, 6-month PFS rates of 9% to 21%, and a median OS of 25 to 30 weeks. No treatment option has demonstrated to improve the survival expectancy of recGB patients in a randomized clinical trial. Bevacizumab treatment has been registered by FDA based on objective tumor response rates and PFS results obtained in uncontrolled phase II trials. There is currently no treatment registered by EMA for the indication of recGB.  Axitinib, a VEGFR-specific small molecule tyrosine kinase inhibitor (Tki) has demonstrated anti-tumor activity when evaluated as a mono-therapy and in combination with lomustine for the treatment of patients with recGB (EudraCT 2011-000900-16). Immunocytochemical profiling of the peripheral blood of recurrent GBM patients treated with axitinib or axitinib plus lomustine showed that axitinib treatment increases the number of naive CD8+ T cells and central memory CD4+ and CD8+ T cells. There was also a reduction of TIM3 expression and an increased cytokine production in the patients treated with axitinib. Upon progression during axitinib treatment patients displayed an increased immune suppression with an increased number of Treg, an increased PD-1 expression on CD4+ and CD8+ T cells, and a reduced T cell functionality.  Avelumab (MSB00107; anti-PD-L1) is a fully human anti-PD-L1 IgG1 monoclonal antibody (mAb) that has demonstrated anti-tumor activity in several tumor types. Expression of PD-L1 by tumor cells has been correlated with a higher probability for respons to avelumab throughout different tumor types. Glioblastoma has been reported to expresses the PD-L1 ligand.  In preclinical mouse models we demonstrated that axitinib reduces the immune suppressive microenvironment through reduction of the suppressive capacity of monocytic MDSCs (both in intra-cranial as well as subcutaneous tumors). Moreover, it also increased the number of tumor-infiltrating T cells. When we combined axitinib with active immunotherapy in the form of CTLA4 blockade not only a supplementary reduction of the suppressive capacity of these monocytic MDSCs was found, but also a reduction of the intratumoral granulocytic MDSCs and an increased antigen-presenting function of intratumoral DCs (manuscript accepted for publication in American Journal of Cancer Research).  The rational for combining avelumab with for the treatment of recGB is based on the potential of axitinib to normalize the glioblastoma associated neo-vasculature, counteracting the immunosuppressive role of VEGF in the tumor microenvironment and controlling intracranial edema. These features may result in a synergistic anti-tumor effect with the PD-L1 inhibitory mAb avelumab. In addition, axitinib may reduce the inflammatory edema related to the anti-tumor effect mediated by PD-L1 inhibition with avelumab.  Patients with recGBM often develop neurological symptoms related to perilesional edema. Corticosteroids are considered a standard of care for controlling intracranial edema in patients with glioblastoma. High dose corticosteroids however are known to be immunosuppressive and are likely to counteract the therapeutic effect of anti-PD-L1 antibody therapy. Axitinib has the capacity to control recGBM associated edema of the brain. Out of the 32 patients who were treated with corticosteroids at baseline in the AxiG trial (EudraCT 2011-000900-16) 17 could lower and 5 could stop their steroids during treatment with axitinib. PFS was identical for patient with or without need for steroids at baseline in the AxiG trial but OS was numerically superior for patients not in need for steroids at baseline."
20,FMISO PET Study of Glioblastoma,NCT02076152,"This study does not add any additional treatment to patients with malignant glioma who are already scheduled to receive bevacizumab monotherapy. All treatment decisions will be at the discretion of the treating physician. There will be no change in the diagnosis or management of the patient based on any procedures or tests carried out as a part of this study.  If the participant chooses to take part in this research study each treatment cycle will last 28 days.  Day 1-The participant will have the following procedures done before they can receive bevacizumab:  An assessment of the participant's tumor by Vascular MRI (Magnetic Resonance Imaging) and FMISO-PET scans Blood pregnancy test for women of childbearing potential.  Day 14:The participant will have the following procedures done after they receive bevacizumab:  An assessment of the participant's tumor by Vascular MRI (Magnetic Resonance Imaging) and FMISO-PET scans before the participant have received bevacizumab Blood pregnancy test for women of childbearing potential.  Day 28: The participant will have the following procedures done after they receive bevacizumab:  An assessment of the participant's tumor by Vascular MRI (Magnetic Resonance Imaging) and FMISO-PET scans after the participant has received bevacizumab Blood pregnancy test for women of childbearing potential.  FMISO-PET Scans:  The participant will have the scans performed in Charlestown, MA at the Martinos Center. The participant will be injected with two separate intravenous (IV) injections (listed below). Intravenous means a need will be injected into a vein in the participant's arm.  FMISO for PET scan and a contrast dye for the MRI scan Drawing blood to assess the radioactivity of FMISO The PET scan will take approximately 60-75 minutes. The participant will receive one injection of FMISO. Following the injection of the radiotracer, blood samples will be taken from the second IV line. The tracer is given through a vein (IV) and travels through the participant's blood and collects in organs and tissues. The participant will need to wait nearby as the tracer is absorbed by the their body. This takes about 90 minutes. Then, the participant will lie on a narrow table that slides into a large tunnel-shaped scanner. The PET will pick up signals from the tracer and a computer will change the signals into 3D pictures that will be displayed on a monitor for the participant's study doctor to read.  MRI Scan:  MRI scans will last about 60-75 minutes. This will occur at the same time as the PET scan. The participant will be injected with contrast dye twice during the MRI scan. The participant will have 3 MRI scans (prior to starting treatment, day 1 of treatment and day 14 of treatment) that would not have routinely been performed if the participant were not participating in this study. Blood samples will be collected during both scans in order to measure how the participant blood vessels are processing the radiotracer FMISO and how well it is being delivered to the tumor tissue. The participant will be assessed for side effects via clinic visit or phone call about 24 hours after each of the visits above.  Planned Follow-up: The investigators would like to call the participant every 3 months for three years after the 28 day visit to see how they are doing and if the participant is experiencing any side effects. If the participant is removed from the study due to an unacceptable side effect, the participant will be followed until it has been resolved."
21,TRC105 for Recurrent Glioblastoma,NCT01778530,"Background:  TRC105 is an anti-angiogenic monoclonal antibody (mAb) that binds to CD105 (Endoglin), a transmembrane glycoprotein that is essential for angiogenesis, and expressed abundantly on activated vascular endothelial cells (ECs). CD105 is a member of the transforming growth factor-Beta (TGF-Beta) receptor superfamily, and modulates TGF-Beta signaling leading to EC proliferation and migration. Immunohistochemistry studies reveal that CD105 is preferentially expressed in blood vessels of tumor tissues as compared with normal mucosa. For patients with glioblastoma multiforme (GBM), increased expression of CD105 may correspond to worse survival times. Furthermore, expression of CD105 is essential for neovascularization, and is upregulated in the setting of (vascular endothelial growth factor ) VEGF inhibition. TRC105 binding to CD105 leads to inhibition of EC proliferation, neovascularization, and induces cell death via apoptosis. TRC105 may also mediate antibody-dependent cellular cytotoxicity (ADCC).  Objectives:  Primary  To determine the radiographic response rate for patients with recurrent GBM treated with TRC105. To establish data regarding the anti-tumor activity of TRC105 in patients with GBM, as determined by progression free survival.  Secondary  To obtain information regarding the safety of TRC105 in patients with recurrent GBM. To evaluate the health-related quality of life (HRQL) in patients while on treatment with TRC105. To examine the effect of TRC105 on vascular permeability as measured by percent change from baseline in the forward contrast transfer rate (Ktrans) of dynamic contrast-enhanced magnetic resonance imaging (DCE-MRI). To examine the effect of TRC105 on vascular perfusion as measured by percent change from baseline in cerebral blood volume (CBV), cerebral blood flow (CBF), and mean transit time (MTT) of dynamic susceptibility contrast magnetic resonance imaging (DSC-MRI). To examine the effect of TRC105 on water diffusion as measured by percent change from baseline in apparent diffusion coefficient (ADC) and fractional anisotropy (FA) of diffusion magnetic resonance imaging (MRI). To examine the effect of TRC105 on tumor metabolism as measured by percent change from baseline in fludeoxyglucose F18 injection (FDG) uptake of positron emission tomography (PET) scan. To obtain preliminary data regarding how changes in serial FDG-PET scans and physiological MRI correlate with radiographic response rates and with progression free survival in patients treated with TRC105.  Eligibility:  -This is a phase II trial in patients with recurrent GBM who are VEGF therapy naive.  Design:  -Prior to treatment start, patients will undergo a magnetic resonance imaging (MRI) including MRI perfusion and diffusion scans, as well as an FDG-PET scan. Patients will then receive TRC105 as a single agent (weekly dose of 10 mg/kg IV). A cycle will consist of 4 weeks of therapy. At the end of the first cycle, the magnetic resonance (MR) imaging and FDG-PET scans will be repeated before continuing treatment. Patients who are clinically and neurologically stable, and who have radiographic stable or responding disease at the end of each cycle will continue treatment with TRC105. MRI perfusion and diffusion will be repeated after the completion of each cycle of therapy."
22,Mycophenolate Mofetil Combined With Radiation Therapy in Recurrent Glioblastoma,NCT04477200,"The goal of the Phase 0 component is to determine if MMF achieves active concentrations in brain tumors. Eight participants in Phase 0 will receive MMF for one week before undergoing an already planned biopsy or re-resection (surgical removal) of glioblastoma (GBM). A small portion of the tumor, removed as part of clinical care, will be used for testing in this study. Thirty additional participants will be enrolled in the Phase 1 component of the trial. The goal of the Phase 1 component is to find the dose of MMF that works best without causing severe side effects (the maximum tolerated dose) when combined with radiation. Participants in Phase 0 who meet the eligibility criteria for the Phase 1 component may participate in both phases."
23,Bi-weekly Temozolomide Plus Bevacizumab for Adult Patients With Recurrent Glioblastoma Multiforme,NCT00883298,"This is a phase II study of the combination of Avastin and temozolomide for patients with recurrent glioblastoma multiforme. Avastin is administered intravenously at a dose of 10 mg/kg on days 1 and 15 every 28 days and temozolomide is administered at a dose of 100 mg/m2 on days 1-5 and 15-19 every 28 days (one cycle). Patients will have a baseline MRI, an MRI scan after the first cycle and every other cycle after that. If there is no evidence of disease progression or unacceptable toxicity, patients will receive one year of therapy. If there is evidence of added benefit (eg: tumor regression), patients can stay on treatment longer than one year, per investigator discretion."
24,Optune(NOVOTTF-100A)+ Bevacizumab+ Hypofractionated Stereotactic Irradiation Bevacizumab-Naive Recurrent Glioblastoma (GCC 1344),NCT01925573,"The combination of Optune(NovoTTF) with the active regimen of bevacizumab and hypofractionated stereotactic radiotherapy bases the addition of an effective new treatment in the setting of a safe regimen with favorable survival reports. To date, no clinical data are available on the interaction of concomitant tumor treating fields with radiation therapy either with or without bevacizumab. TTF and radiation both have the potential to enhance the other's therapeutic ratio though synergistic mechanisms of action. The addition of bevacizumab to this regimen has both therapeutic and improved-toxicity implications. A trial combining Optune with the proven regimen of HFSRT and bevacizumab for recurrent glioblastoma affords an avenue to demonstrate safety in a population who may more readily derive a benefit from novel multimodality therapy and explore the potential for synergistic effect. The endpoint of efficacy would clearly need to be more definitively addressed in a future categorical trial, which would be the logical positive outcome of this pilot study."
25,Personalized Cellular Vaccine for Recurrent Glioblastoma (PERCELLVAC2),NCT02808364,"This is an open label, single-arm, single-institution, Phase I study designed to investigate the safety and efficacy of personalized cellular vaccines for patients with recurrent glioblastoma (GBM). Recurrent GBM patients will undergo tumor resection. The tumors will be analyzed for the expression of a panel of glioma-associated antigens and immune-related genes. Patients will undergo leukapheresis to collect mononuclear cells for DC generation. Based on the expression profiles of tumor-associated antigens, in vitro transcribed mRNA will be generated to pulse autologous DCs. Patients will be conditioned with immune adjuvants before and during immunization. Patients will receive biweekly vaccines. The antitumor specific T cell responses will be measured. Safety and efficacy will be monitored. The objective is to assess the safety of the personalized cellular vaccines and T cell responses. The efficacy of the vaccines will be evaluated using iRANO criteria, progression-free survival and overall survival."
26,Phase I Study of a Dendritic Cell Vaccine for Patients With Either Newly Diagnosed or Recurrent Glioblastoma,NCT02010606,"This phase I study for patients with either newly diagnosed or recurrent glioblastoma with minimal residual tumor utilizes a dendritic cell vaccine consisting of autologous dendritic cells that have been pulsed with a lysate derived from an allogeneic glioblastoma stem-like cell line cultured under neurosphere-forming conditions.  Patients will receive a series of four vaccines given weekly during the Induction phase, followed by vaccinations every 8 weeks during the Maintenance phase for as long as patients remain on the study or until the vaccine supply is depleted. In addition to the investigative treatment, patients with newly diagnosed glioblastoma will receive standard temozolomide chemotherapy and radiation treatment, with the Induction phase beginning at the conclusion of radiation. Patients with recurrent glioblastoma will not receive treatment other than the investigative treatment, unless they were previously treated with bevacizumab, in which case they will be allowed to continue receiving bevacizumab."
27,Feasibility of Individualized Therapy for Recurrent GBM,NCT03681028,"This is a pilot, single-institution, single cohort, non-randomized open-label study to assess feasibility of implementing an individualized treatment regimen in patients with surgical recurrent GBM. Patients are not stratified according to demographic or treatment-related parameters. Patients must have recurrent glioblastoma treated with appropriate tumor treatment including radiation therapy at initial diagnosis. Surgery must be clinically indicated and patients must be candidates for tumor resection at UCSF.  The goal of the current study is to build upon prior results by confirming the feasibility of actually implementing patient-specific drug regimens in a rapid, clinically-relevant timetable. We will also assess for efficacy, safety, and response outcomes of these patient-specific regimens, to generate preliminary data that would support a larger trial assessing efficacy of such an approach.  Resected tumor tissue and blood will be examined using Next Generation Sequencing (NGS) UCSF 500 Cancer Gene Panel at the UCSF Clinical Cancer Genomics Laboratory and Whole genome and RNA sequencing. The clinical report generated from the NGS UCSF 500 panel will be provided to a study-specific Tumor Board who will generate an individualized treatment recommendation based on the report. The individualized treatment regimen potentially will include up to 4 repurposed off-the-shelf FDA-approved targeted agents. The Board will identify the expected/anticipated drug-drug interactions and anticipated additional toxicities of the combination of therapies. The treating physician is given the report, discusses the suggested treatment options with the patient, and initiates treatment, ideally within 28 calendar days (and no later than 35 calendar days) after surgery. Treatment will continue until tumor progression."
28,NU-0129 in Treating Patients With Recurrent Glioblastoma or Gliosarcoma Undergoing Surgery,NCT03020017,"PRIMARY OBJECTIVES:  I. To assess the safety of intravenous NU-0129 in patients with recurrent glioblastoma multiforme (GBM) or gliosarcoma (GS).  SECONDARY OBJECTIVES:  I. To analyze drug concentration in serum at specific time points after drug administration.  II. To demonstrate intratumoral penetration of NU-0129. III. To assess the feasibility of giving NU-0129 as a standard treatment for recurrent GBM or GS.  TERTIARY OBJECTIVES:  I. To analyze tumor tissue for Bcl2L12 expression levels after NU-0129 administration.  II. Preliminary response (progression free survival [PFS] and overall survival [OS] at 6 months; overall response rate [ORR]).  OUTLINE:  Patients receive NU-0129 intravenously (IV) over 20-50 minutes and undergo standard of care tumor resection within 8-48 hours.  After completion of study treatment, patients are followed up at 7, 14, 21, and 28 days and then every 84 days for up to 2 years."
