,word,index,count,summary
85,bal101553,"{438, 55}",2,"This is the first study of the oral formulation of BAL101553. BAL101553 will be administered once daily during each day of a 28-day treatment cycle in capsule form. In Phase 2a, the tolerability and potential anticancer activity of oral BAL 101553 will be assessed in patients with recurrent glioblastoma whose tumor tissue tests positive for end-binding protein 1 (EB1) The study will also measure pharmacokinetics, pharmacodynamic effects and assess biomarkers. This is the firstStudy of prolonged intravenous infusion of BAL 101553. It will be administered as an intravenous infusion over 48 hours."
88,bcnu,"{527, 406, 503}",3,"The product in this study, Carmustine Sustained Release Implant (CASANT), is similar to that of Gliadel wafer as for the API(Active Pharmaceutical Ingredient), but different as for drug delivering system. As required, the preliminary clinical studies were conducted in China. 8-10 wafers containing given dose of BCNU will be administered intracranially in this phase III to the tumor resected cavity. The purpose of this study is to compare the safety and efficacy of the 10?M concentration of AP 12009 and standard chemotherapy (temozolomide, BCNU, CCNU)"
89,be,"{224, 248}",2,"Glioblastoma (GBM) is the most common primary brain tumor. With optimal treatment, median survival is 14.6 months. At progression, treatment options are limited and mostly ineffective. Bevacizumab was approved for recurrent GBM patients. Topotecan is an orally bioavailable topoisomerase I and Hypoxia-inducible factor 1 (HIF-1) alpha inhibitor with reasonably high central nervous system (CNS)/cerebrospinal fluid (CSF) penetration. Recent pre-clinical reports have begun to argue for the clinical testing of metronomic chemotherapy administration in various cancers."
95,bev,"{224, 354, 551, 9, 556, 557, 302, 474}",8,"Glioblastoma (GBM) is the most common primary brain tumor. With optimal treatment, median survival is 14.6 months. At progression, treatment options are limited and mostly ineffective. Bevacizumab was approved for recurrent GBM patients. Topotecan is an orally bioavailable topoisomerase I and Hypoxia-inducible factor 1 (HIF-1) alpha inhibitor with reasonably high central nervous system (CNS)/cerebrospinal fluid (CSF) penetration. Recent pre-clinical reports have begun to argue for the clinical testing of metronomic chemotherapy administration in various cancers."
96,bevacizumab,"{512, 12, 525, 14, 19, 20, 535, 24, 537, 26, 539, 29, 541, 31, 36, 551, 552, 41, 42, 556, 557, 47, 49, 53, 56, 57, 58, 59, 568, 574, 584, 90, 92, 95, 119, 126, 128, 130, 131, 134, 138, 150, 156, 164, 168, 171, 179, 184, 187, 191, 199, 204, 206, 209, 212, 218, 224, 233, 243, 248, 249, 255, 263, 264, 266, 267, 270, 272, 273, 275, 280, 289, 290, 300, 301, 304, 319, 322, 323, 325, 329, 335, 339, 345, 346, 348, 350, 356, 360, 361, 374, 378, 383, 387, 395, 398, 412, 431, 432, 443, 448, 455, 463, 466, 469, 473, 474, 490, 503, 508}",110,This is a phase 1b study for safety and tolerability of bevacizumab(Avastin)administered into the tumor resection cavity in subjects with Glioblastoma Multiforme (GBM) at first recurrence. Primary Endpoint(s) To evaluate the efficacy of nivolumab when administered with standard and reduced bevaczumab dosing among recurrent glioblastoma patients as measured by the rate of overall survival at twelve months.  To compare progression free survival (PFS) at 6 months of nivolomab when administered withstandard and reduced bevacsumab dosing.
105,bgb-290,"{377, 362}",2,BGB-290 (BGB-290) and temozolomide (TMZ) were tested in adolescent and young adult (AYA) subjects with IDH1/2-mutant glioma. The aim was to improve the historical high grade glioma progression free survival of 10% and overall survival of 20% at 2 years. The study also assessed the mutational landscape studies via whole-exome sequencing (WES) and ribonucleic acid (RNA) sequencing (RNAseq) It also assessed gene expression patterns using ribonucleic Acid sequencing (RNA sequencing) and methylation profiling using methylation profiling.
110,bilirubin,"{178, 2, 259, 408}",4,"ZK 219477 is a fully synthetic analogue of Epothilone B, a naturally occurring cytotoxic substance. ZK 219477 inhibits microtubule depolymerization, causing cell cycle blockage in G2/M phase and induction to apoptosis. In pre-clinical model ZK 219477 has demonstrated anti-tumorigenic activity for gliomas tumours both in vitro and in vivo. It has the ability to cross the blood-brain barrier, a fundamental characteristic for a potential GBM chemotherapy. In a preclinical PK study, similar concentrations of ZK 219477 were detected in plasma (1.2 ��g/ml)"
114,bkm120,"{192, 76, 541, 310}",4,"Evaluate PI3K pathway modulation due to BKM120 in tumor tissue. Evaluate BKM120 concentration in tumor tissue, plasma, and cerebrospinal fluid. Correlate FDG-PET and FLT-PET with pharmacodynamic effects and 6-month progressive-free survival (PFS6) Determine the effects of BKM120 on primary GBM cell lines derived from participants. Correlate benefit from BKM120 treatment with molecular genotype of tumor (using immunohistochemistry, mutation analysis and RNA)  Cohort 2  Primary Objective  Investigate the treatment efficacy."
119,bms-936558,"{341, 447}",2,"To determine safety of each of the following study agents, anti-GITR, IDO1 inhibitor, and ipilimumab, in combination with nivolumab (BMS-936558) flat dose in patients with first recurrence of GBM. To characterize the immune response during and after treatment as measured by immunohistochemistry, and other T cells etc. in peripheral blood. To characterize the pharmacodynamic and genomic activity in tumor tissue as target inhibition. To characterize radiographic response and genetic characterization of correlative samples. To evaluate pain for patients undergoing the treatment of anti-GITr, IDO1 inhibitors, and  ipilimumab."
120,bms-986016,"{308, 447}",2,"10 patients 18 years old and older with recurrence of glioblastoma after standard treatment of surgery, chemotherapy, and radiation. Patients will be screened by study neurosurgeons or neuro-oncologists to verify their confirmed or likely diagnosis. Patients will be offered standard of care therapy, including repeat surgery and/or recommendations for chemotherapeutic agents and other trials. If the patients are deemed to be surgical candidates for their potential recurrence, they will be enrolled in the trial. Enrolled patients will then undergo a stereotactic brain biopsy. Two microdialysis catheters will be placed in the brain after the biopsy."
123,bortezomib,"{489, 331, 113, 561, 117, 87}",6,"This is a single-center (Emory University), open-label, single arm, phase I study. Patients requiring anti-epileptic medications will have to be at least 10 days off EIAEDs. Only non-EIAEDs are accepted. Patients are stratified according to concurrent anticonvulsant drug use (phenytoin, carbamazepine, phenobarbital, primidone, or fel) The study is a dose-escalation, multicenter study. It will assess safety and toxicity of bortezomib in combination with bevacizumab and escalating doses of temozolomide."
131,buparlisib,"{76, 6}",2,"This was a multi-center, open-label, phase Ib/II study. The aim of the phase Ib part was to estimate the MTD and/or to identify the recommended phase II dose (RP2D) for the combination of INC280 and buparlisib. RP2D was not declared due to a lack of efficacy of the combination in the phase Ib stage, and phase II was continued with INC280 monotherapy only. The first part (phase Ib) was to investigate the maximum tolerated dose/Recommended phase ll dose (MTD/RP2D) of once daily buparlisib in combination with every-three-week carbopl."
137,calcium,"{565, 533}",2,"INCB7839 is an inhibitor of the ADAM (A Disintegrin and Metalloprotease) 10 and 17 proteases. Neuronal activity regulates glioma growth through neuroligin-3 (NLGN3). ADAM 10 is the protease responsible for NLGN3 release into the tumor microenvironment and represents a promising therapeutic target. Pre-clinical studies of INCB7839 in patient-derived pediatric high-grade gliomas (GBM and DIPG) revealed that INCB7839 inhibits pediatric high- grade glioma growth and improves overall survival. Of the adverse events (AEs) noted, the majority were mild-to-moderate in severity, the most frequent being fatigue, nausea, anorexia."
139,capecitabine,"{428, 126}",2,"Temozolomide and CCNU are the current standard treatment for malignant brain tumors. Both drugs work by damaging the DNA (deoxyribonucleic acid) of tumor cells to kill these tumor cells. Celecoxib is a drug that may help to prevent the development of some types of cancer by blocking a type of enzyme (COX-2) that is found in tumor cells. Depending on the previous treatment you have received, you will be treated according to Arms 1, 2, or 3. If you have received temozolomide before but only during radiation therapy and not as chemotherapy afterwards and the treatment was over 6 months ago you will be treated with temozolomid according to Arm 1."
142,carbohydrates,"{5, 7}",2,"A change of nutrition by limiting carbohydrates and increasing the proportion of fatty acids and proteins can lead to ketogenic metabolism. Ketogenic metabolism might limit energy production in tumor cells and therefore inhibit tumor growth. In a pilot of recurrent glioblastoma, ketogenic diet adjuvant salvage chemotherapy was given as interventional group and standard diet adjuant salvage chemotherapy was given to the patients. The pilot study examines whether in this situation a ketogenic diet can be applied to the patients and may inhibit tumor growth and influence the quality of life of the patients. The study was published in the Journal of the American Society for Clinical Oncology."
143,carbon,"{529, 445}",2,"Treatment of patients with recurrent glioma includes neurosurgical resection, chemotherapy, or radiation therapy. In most cases, a full course of radiotherapy has been applied after primary diagnosis. With modern precision photon techniques such as fractionated stereotactic radiotherapy (FSRT), a second course of radiotherapy is safe and effective and leads to survival times of 22, 16 and 8 months for recurrent WHO grade II, III and IV tumors. First Japanese Data on the evaluation of carbon ion radiation therapy for the treatment of primary high-grade gliomas showed promising results in a small and heterogeneous patient collective. In the current Phase I/II-CINDERELLA-"
144,carboplatin,"{70, 6, 71, 170, 543, 537, 402, 275, 53, 472, 121, 124, 351}",13,"This is a Phase 1/2, open-label, prospective, multi-center, single-arm study to establish the safety and feasibility of blood-brain-barrier disruption (BBBD) combined with intravenous carboplatin for the treatment of rGBM. Eligible subjects will undergo up to 6 cycles of Exablate BBBD procedures in conjunction with carboplatin chemotherapy. This is a multi-center, phase Ib/ II study (two parts) with patients that had recurrent glioblastoma multiforme. The first part (phase Ib) was to investigate the maximum tolerated dose/Recommended phase ll dose (MTD/RP2D)"
146,carmustine,"{129, 98, 100, 428, 527, 53, 503, 570, 124}",9,"This is a dose-escalation, multicenter study. Patients receive carmustine in ethanol (DTI-015) intratumorally over 5 minutes during stereotactic biopsy or open craniotomy. Cohorts of 3-6 patients receive escalating doses of DTI-015 until the maximum tolerated dose (MTD) is determined. The MTD is defined as the dose preceding that at which 3 of 6 patients experience dose-limiting toxicity. (Phase I of this study closed to accrual as of 01/15/2002.) Additional patients then receive treatment with DTI-015 at the recommended phase II dose."
150,ccnu,"{163, 6, 428, 116, 468, 406, 441}",7,"The prognosis for patients with recurrent/ refractory glioblastoma is dismal, with a median survival of 3~6 months. There is no efficient and standard care at the time of recurrence or progression following temozolomide administration. It is very important that the effect of the agent is sustained and the adverse effect is reduced to preserve the quality of life in recurrent settings. We have realized that the clinical features of Korean patients are very different from those of foreign patients. Therefore, it is mandatory to develop the new strategy for the treatment of Korean patients. We modify the PCV chemotherapy in the dose and administration schedule of CCNU and procarbazine to reduce the side effect."
152,cediranib,"{9, 42, 15, 305, 114}",5,"This is a Phase I, open-label, multi-centre study designed to assess the safety and tolerability of Cediranib in combination with lomustine in patients with primary recurrent malignant brain tumour. The aim is to determine the safety profile of cediranib (cediranib maleate) in combination with cilengitide in patients with recurrent glioblastoma. Patients are initially enrolled in the dose-finding portion of the study (part A). Once the safe dose of cedirAnib maleate is determined, the study will move on to the next phase."
153,cediranibmaleate,"{42, 397, 114}",3,"The aim of the study was to compare the antitumor activity of cediranib maleate (cediranib)/olaparib versus reference bevacizumab monotherapy, as measured by progression-free survival at 6 months (PF6) The study also aimed to assess the safety of the combination of olaparib and cedirAnib in patients with recurrent GBM. It also aimed to evaluate the association of blood based biomarkers involved with angiogenesis using the Biomarker Review Committee-approved Plasma Angiome Panel (bFGF, Ang-1, Ang-2, Tie-2, SDF1-alpha, Collagen IV)"
154,celecoxib,"{428, 45}",2,"Temozolomide and CCNU are the current standard treatment for malignant brain tumors. Both drugs work by damaging the DNA (deoxyribonucleic acid) of tumor cells to kill these tumor cells. Celecoxib is a drug that may help to prevent the development of some types of cancer by blocking a type of enzyme (COX-2) that is found in tumor cells. Depending on the previous treatment you have received, you will be treated according to Arms 1, 2, or 3. If you have received temozolomide before but only during radiation therapy and not as chemotherapy afterwards and the treatment was over 6 months ago you will be treated with temozolomid according to Arm 1."
159,cilengitide,"{288, 114, 213, 184, 575}",5,"This is a multicenter study. Patients are randomized to 1 of 2 treatment groups for the preoperative treatment component. All patients undergo tumor resection on day 0. Postoperative Treatment: Beginning within 2 weeks after surgery, all patients receive high-dose cilengitide IV over 1 hour twice weekly for 4 weeks. Treatment repeats every 4 weeks for up to 24 courses in the absence of disease progression or unacceptable toxicity. After completion of study treatment, patients are followed every 3 months. A total of 44 patients were enrolled in the study. A total of 34 patients were treated with cileng itide. The study was funded by the National Institutes of Health."
160,cimetidine,"{280, 179}",2,"PI 287 is designed to block a protein that causes cancer cells to resist the effects of chemotherapy. By blocking the protein, the drug may be able to cause the cancer cells to shrink or stop growing. Bevacizumab will be given to patients that are found to have brain damage. It is designed to block the growth of new blood vessels. It may help to lower the amount of brain damage related to tumor tissue death and help limit the symptoms of this condition. If you experience intolerable side effects, the dose of TPI 287 may be lowered. Your doctor will tell you more about lowering a dose due to side effects."
165,copper,"{268, 581}",2,"Disulfiram (Antabuse?) is a well-tolerated, cheap, generic drug that has been in use since the 1950s to treat alcoholism. There is now anecdotal clinical evidence of disulfiram as an anticancer agent. So far no clinical studies have been published in glioma patients, but two small, uncontrolled studies are planned. The investigators aim to investigate disulfiram and copper-supplement as add-on treatment in glioblastoma patients with recurrence receiving alkylating chemotherapy. The study will be performed as a multicenter RCT including patients in Norway and Sweden."
166,corticosteroids,"{19, 164, 300}",3,"High-grade gliomas of the central nervous system (CNS) are characterized by profound tumor related neo-angiogenesis, and intracranial perilesional edema. Glioblastoma (WHO-grade IV glioma) expresses high levels of VEGF and frequently carries an amplified gene copy numbers of the VEGFR2, KIT and PDGFR or EGFR genes. No treatment option has demonstrated to improve the survival expectancy of recGB patients in a randomized clinical trial. Bevacizumab treatment has been registered by FDA based on objective tumor response rates and PFS results obtained in uncontrolled phase II trials."
171,cpt-11,"{450, 194, 484, 456, 468, 539}",6,"Patients with recurrent malignant glioma will receive Nanoliposomal CPT-11 at the time of relapse. Patients will receive drug intravenously every 3 weeks until tumor progression or excessive toxicity. Weekly follow up will occur to assess toxicities during the DLT phase of the trial. Patients will be followed for both toxicity and progression, and progression will be evaluated by MR imaging every 6 weeks. Pharmacokinetics will be obtained in the first treatment cycle. Patients with UGT 1A1 of 7/7 will not be eligible. All patients must have UGT1A1 status know as an eligibility requirement."
172,creatinine,"{2, 259, 178, 408, 29}",5,"WHO Grade IV glioblastoma; Radiographic evidence of tumour progression or recurrence. Second-generation gene sequencing on pathological specimens and cerebrospinal fluid show at least one genetic mutation of the four genes. Estimated survival of at least 3 months; signed informed consent form; Hgb > 9 gm; absolute neutrophil count (ANC) > 1500/��l; platelets > 100,000; Creatinine < 1.5 times the upper limit of laboratory normal value; Bilirubin < 2 times the upper limit, laboratory normal value; serum glutamate pyruvate transaminase (SGPT) or serum glutamate oxaloacetate transamin enzyme (SGOT)"
181,cu,"{43, 581}",2,"This study of DSF-Cu in combination with TMZ for recurrent GBM will evaluate the antitumor effect in patients who have recurrent GBM. Patients will be treated with 3 days of preoperative DSF/copper (Cu) prior to their surgery (or biopsy), which will be followed by collection of blood and tumor samples during surgery for analysis of drug uptake. After the surgery, patients will receive standard radiation therapy (RT) and temozolomide (TMZ) with the addition of concurrent DSF/Cu. The proposed phase I/II study of disulfiram (DSF) for patients with presumed glioblastoma multiforme (GBM) based on magnetic resonance imaging (MRI) or biopsy."
184,cyclophosphamide,"{307, 398}",2,"High-dose thiotepa followed by autologous peripheral blood stem cell transplantation. Patients receive filgrastim (G-CSF) daily until the completion of peripheral blood stem cell (PBSC) harvesting. Patients receive sargramostim (GM-CSF) subcutaneously daily beginning on day 0 and continuing until blood counts recover. Treatment repeats every 2-3 weeks for a total of 1-4 courses in the absence of disease progression or unacceptable toxicity. Quality of life is assessed at baseline, at every baseline, and at every 2-3 week course of treatment. Patients who do not mobilize sufficient cells undergo bone marrow harvest."
189,dag,"{368, 374}",2,"Recurrent GBM is characterized by a dismal prognosis, with a median overall survival of 6.9 months. Treatment options include repeat surgery, re-irradiation, or chemotherapy. VAL-083, Dianhydrogalactitol (DAG), unlike temozolomide, is unlike temozolmide, is not a chemotherapy drug. It is a non-steroidal anti-inflammatory drug (NSAID) that has been shown to improve the prognosis of patients with GBM. It is not known if VAL-083 will be approved for use in patients with GBM in the U.S."
192,dasatinib,"{290, 81, 435, 533, 188}",5,"To determine whether dasatinib plus lomustine are effective for treatment of recurrent glioblastoma. This is a multicenter, phase I, dose-escalation study (Phase I completed) of dasatinib followed by a phase II randomized study. Patients are grouped according to study (1 vs 2). Patients in the phase II portion are stratified according to age and ECOG performance status (0 vs 1 or 2). Patients receive bevacizumab IV over 30-90 minutes on day 1. Patients also receive oral dasatinib once or twice daily on days 1-14 until the maximum-tolerated dose (MTD) is determined."
193,dca,"{409, 494}",2,"Malignant brain tumors are defined as any World Health Organization grade III-IV glioma and any solid tumor metastasis (spread) to the brain. Recurrent malignant brain tumors (RMBTs) are defined as either: 1) malignant tumors, originating in the brain, that have recurred at least once or 2) malignant tumors originating elsewhere in the body that have spread to the brain at least once. Dichloroacetate (DCA) is the drug in the class most thoroughly investigated clinically. DCA's mechanism of action and tolerability have been extensively demonstrated in the treatment of chronic metabolic disorders."
196,dexamethasone,"{224, 280, 578, 534}",4,"Glioblastoma (GBM) is the most common primary brain tumor. With optimal treatment, median survival is 14.6 months. At progression, treatment options are limited and mostly ineffective. Bevacizumab was approved for recurrent GBM patients. Topotecan is an orally bioavailable topoisomerase I and Hypoxia-inducible factor 1 (HIF-1) alpha inhibitor with reasonably high central nervous system (CNS)/cerebrospinal fluid (CSF) penetration. Recent pre-clinical reports have begun to argue for the clinical testing of metronomic chemotherapy administration in various cancers."
198,dianhydrogalactitol,"{368, 374}",2,"Recurrent GBM is characterized by a dismal prognosis, with a median overall survival of 6.9 months. Treatment options include repeat surgery, re-irradiation, or chemotherapy. VAL-083, Dianhydrogalactitol (DAG), unlike temozolomide, is unlike temozolmide, is not a chemotherapy drug. It is a non-steroidal anti-inflammatory drug (NSAID) that has been shown to improve the prognosis of patients with GBM. It is not known if VAL-083 will be approved for use in patients with GBM in the U.S."
199,dichloroacetate,"{409, 494}",2,"Malignant brain tumors are defined as any World Health Organization grade III-IV glioma and any solid tumor metastasis (spread) to the brain. Recurrent malignant brain tumors (RMBTs) are defined as either: 1) malignant tumors, originating in the brain, that have recurred at least once or 2) malignant tumors originating elsewhere in the body that have spread to the brain at least once. Dichloroacetate (DCA) is the drug in the class most thoroughly investigated clinically. DCA's mechanism of action and tolerability have been extensively demonstrated in the treatment of chronic metabolic disorders."
202,diphenhydramine,"{280, 179}",2,"PI 287 is designed to block a protein that causes cancer cells to resist the effects of chemotherapy. By blocking the protein, the drug may be able to cause the cancer cells to shrink or stop growing. Bevacizumab will be given to patients that are found to have brain damage. It is designed to block the growth of new blood vessels. It may help to lower the amount of brain damage related to tumor tissue death and help limit the symptoms of this condition. If you experience intolerable side effects, the dose of TPI 287 may be lowered. Your doctor will tell you more about lowering a dose due to side effects."
203,disulfiram,"{581, 268, 45}",3,"Disulfiram (Antabuse?) is a well-tolerated, cheap, generic drug that has been in use since the 1950s to treat alcoholism. The potency of disulfiram as an anticancer agent seems strengthened by copper. So far no clinical studies have been published in glioma patients, but two small, uncontrolled studies are planned according to clinicaltrials.com. The proposed phase I/II study of disulfirm (DSF) for patients with presumed glioblastoma multiforme (GBM) based on magnetic resonance imaging (MRI) or biopsy, including administration before surgery and during adjuvant chemoradiotherapy."
204,dnx-2401,"{261, 364, 61}",3,"In the initial phase of the study, up to 12 evaluable subjects will be enrolled in 3 dose cohorts to determine the best dose of DNX-2401. Following the initial phase, up to 36 additional subjects diagnosed with recurrent glioblastoma or gliosarcoma will be enrolled to receive a single of DNX- 2401. All subjects will return to the clinic for study follow-up visits at regular intervals for safety monitoring for safety monitoring. The study is still in its early stages and there are no plans to publish a safety or efficacy data for the treatment of glioblastomas and gliosarcomas."
206,docetaxel,"{178, 189}",2,"ZK 219477 is a fully synthetic analogue of Epothilone B, a naturally occurring cytotoxic substance. ZK 219477 inhibits microtubule depolymerization, causing cell cycle blockage in G2/M phase and induction to apoptosis. In pre-clinical model ZK 219477 has demonstrated anti-tumorigenic activity for gliomas tumours both in vitro and in vivo. It has the ability to cross the blood-brain barrier, a fundamental characteristic for a potential GBM chemotherapy. In a preclinical PK study, similar concentrations of ZK 219477 were detected in plasma (1.2 ��g/ml)"
209,dox,"{328, 142}",2,"Temozolomide (TMZ) combined with radiotherapy was the first substance to significantly improve the overall survival (to 14.6 months) as compared to surgery and radiotherapy alone. TMZ showed the best efficacy in patients with a methylated O6-methylguanine-DNA methyltransferase (MGMT) promoter in part by eliminating stem cell-like tumor cells. Doxorubicin is one of the most effective substances in vitro against cells derived from glioblastoma. However, it has no significant effect in vivo due to poor blood-brain-barrier penetration. In a tumor model, tissue and CSF-concentrations of doxor were found to be effective."
210,doxorubicin,"{328, 189, 486}",3,"Temozolomide (TMZ) combined with radiotherapy was the first substance to significantly improve the overall survival (to 14.6 months) as compared to surgery and radiotherapy alone. TMZ showed the best efficacy in patients with a methylated O6-methylguanine-DNA methyltransferase (MGMT) promoter in part by eliminating stem cell-like tumor cells. Doxorubicin is one of the most effective substances in vitro against cells derived from glioblastoma. However, it has no significant effect in vivo due to poor blood-brain-barrier penetration. In a tumor model, tissue and CSF-concentrations of doxor were found to be effective."
219,enzastaurin,"{267, 502}",2,The purpose of this study is to evaluate both enzastaurin and bevacizumab in the treatment of recurrent malignant gliomas. This protocol will test the activity of Enzastaurin vs. Lomustine in the treatment of recurring brain cancer (specifically intracranial glioblastoma multiforme) The aim of the study is to evaluate the effectiveness of enzastaurin in the treatment of  referred to as intracranial glioblastoma multiforme. The study will also evaluate the effectiveness of Lomustine on the treatment of referred to as intracranian glioblastomas multiforme.
226,erlotinib,"{98, 579, 100, 69, 455, 399, 336, 437, 407}",9,"This is a randomized, open-label, multicenter study. Patients are stratified according to participating center. Patients are randomized to 1 of 2 treatment arms. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity. Patients treated with enzyme inducing anti-epileptic drugs (EIAEDs) receive a higher dose of erlotinib than patients not receiving any anti-epileptic drugs or EIAEDs. Patients who have not received prior temozolomide are assigned to receive temozolomides. Patients who have received prior carmustine are assigned to receive carmustine."
227,erlotinibhydrochloride,"{120, 239, 151}",3,"This is a multicenter, open-label, phase II study. Patients receive oral erlotinib hydrochloride once daily and oral sorafenib tosylate twice daily on days 1-28. Treatment repeats every 4 weeks in the absence of disease progression or unacceptable toxicity. Tumor tissue and blood samples are collected prior to beginning treatment. Samples are analyzed by immunohistochemistry, gene expression, and DNA mutation and genomic analyses of the epidermal growth factor receptor, ras-raf-ERK, and PI3. To determine the relationship between tumor and blood biomarkers and clinical outcome of patients treated with the combination of targeted agents."
230,etoposide,"{443, 468, 53}",3,"Exploratory, single-arm, ph II study designed to assess anti-tumor activity of combinatorial regimen consisting of Etoposide + Bevacizumab among patients with RMG. Primary endpoint of study is probability of progression-free survival at 6 months. Important secondary objective is to further assess safety of E toposide & Bevacizomab for patients with recurrent malignant glioma. This is a Multicenter, open label, randomized study comparing TransMID�� with a chemotherapeutic regimen considered to be best standard of care and consisting of either nitrosoureas, platinum compounds, temozolomide, procarbazine, PCV, (procarbazine, lomustine (CCNU) & vincristine), CPT-11."
231,everolimus,"{432, 411, 461, 430}",4,"Everolimus (everolimus; Novartis) is a novel oral derivative of rapamycin. Sorafenib is an oral multi-kinase inhibitor with effects on tumor proliferation and tumor angiogenesis. Combining everolimus and sorafenib allows targeting of both the PI3K pathway and the RAF-MAPK pathway and in addition targets VEGF and PDGF, other active targets in malignant glioma. Phase 1 - To determine the maximum tolerated dose and safety of everolimus in combination with  sorafenib for patients with recurrent malignant gliomas. Phase 2 - To test the safety and tolerability of sorafenib in combination with everolimus."
